,rf_feature_importance
crop_Apple,0.2096465925574988
planting_year,0.1709658567345294
crop_Kaki,0.09706179343497424
crop_Avocado,0.057558242396755784
trees_per_ha,0.04939202952660381
soil_water_holding_capacity_pct,0.02921165792648497
ndvi_flowering,0.02827350550261326
fertilizer_N_pre,0.021262868242103838
days_under_water_stress,0.021002828947298234
fertilizer_N_mat,0.019443760069309497
ndvi_vegetative,0.018614878677131935
fertilizer_N_set,0.017699522707005862
soil_ph,0.01408131519899307
soil_organic_matter_pct,0.013502599519512251
ndvi_harvest,0.012987467619104274
min_temp_C,0.012642497538020884
irrigation_total_mm,0.012433196495709257
disease_pressure_None,0.011928531765295382
eto_mm,0.01152829335284063
mean_temp_C,0.01140168170481293
